1476846082.830000, /muse/elements/gamma_absolute, 0.39623383, 0.030999374, 0.15826403, 0.6258756
1476846082.830000, /muse/elements/theta_absolute, 0.74523187, 0.9539278, 0.8080728, 0.38536233
1476846082.830000, /muse/elements/alpha_session_score, 0.0, 0.739726, 0.75757575, 0.56666666
1476846082.830000, /muse/elements/beta_session_score, 0.46341464, 0.0, 0.2, 0.5555556
1476846082.830000, /muse/elements/delta_session_score, 0.84615386, 0.7922078, 0.7380952, 0.6666667
1476846082.831000, /muse/elements/gamma_session_score, 0.25, 0.06741573, 0.4722222, 0.78688526
1476846082.831000, /muse/elements/theta_session_score, 0.64615387, 0.9782609, 0.8503937, 0.2840909
1476846082.831000, /muse/eeg, 835.65, 845.5199, 817.55524, 827.4251
1476846082.831000, /muse/eeg, 843.87494, 840.58496, 817.55524, 829.07007
1476846082.831000, /muse/eeg, 850.45483, 845.5199, 825.78015, 838.94
1476846082.831000, /muse/eeg, 850.45483, 848.8099, 817.55524, 824.13513
1476846082.831000, /muse/eeg, 840.58496, 843.87494, 817.55524, 822.4902
1476846082.831000, /muse/eeg, 840.58496, 843.87494, 824.13513, 830.7151
1476846082.831000, /muse/eeg, 840.58496, 848.8099, 825.78015, 827.4251
1476846082.837000, /muse/acc, 359.37555, 937.50146, 113.281425
1476846082.837000, /muse/drlref, 1654838.8, 1648387.1
1476846082.854000, /muse/acc, 355.4693, 937.50146, 117.18768
1476846082.877000, /muse/acc, 355.4693, 933.5952, 121.09394
1476846082.908000, /muse/eeg, 845.5199, 848.8099, 822.4902, 829.07007
1476846082.908000, /muse/eeg/quantization, 1, 1, 1, 1
1476846082.908000, /muse/eeg, 847.16486, 850.45483, 825.78015, 838.94
1476846082.908000, /muse/eeg, 842.2299, 852.0998, 824.13513, 832.36005
1476846082.908000, /muse/eeg, 852.0998, 850.45483, 830.7151, 837.295
1476846082.908000, /muse/eeg, 848.8099, 848.8099, 832.36005, 850.45483
1476846082.908000, /muse/eeg, 842.2299, 845.5199, 827.4251, 843.87494
1476846082.908000, /muse/eeg, 842.2299, 840.58496, 825.78015, 843.87494
1476846082.908000, /muse/eeg, 838.94, 843.87494, 825.78015, 835.65
1476846082.908000, /muse/eeg, 843.87494, 847.16486, 825.78015, 835.65
1476846082.908000, /muse/eeg, 857.0347, 852.0998, 825.78015, 832.36005
1476846082.908000, /muse/eeg, 850.45483, 857.0347, 827.4251, 842.2299
1476846082.908000, /muse/eeg, 832.36005, 847.16486, 825.78015, 834.005
1476846082.908000, /muse/eeg, 835.65, 847.16486, 829.07007, 832.36005
1476846082.908000, /muse/eeg, 843.87494, 848.8099, 824.13513, 842.2299
1476846082.908000, /muse/eeg, 848.8099, 845.5199, 825.78015, 834.005
1476846082.909000, /muse/elements/alpha_relative, 0.08046072, 0.08337484, 0.070613466, 0.20377077
1476846082.909000, /muse/elements/beta_relative, 0.16185744, 0.03989281, 0.04078986, 0.16953117
1476846082.909000, /muse/elements/delta_relative, 0.5260062, 0.58693796, 0.6447601, 0.3832675
1476846082.909000, /muse/elements/gamma_relative, 0.07720735, 0.03155209, 0.045475155, 0.14188565
1476846082.909000, /muse/elements/theta_relative, 0.15446824, 0.25824228, 0.19836141, 0.10154492
1476846082.909000, /muse/elements/horseshoe, 1.0, 1.0, 1.0, 1.0
1476846082.909000, /muse/elements/is_good, 1, 1, 1, 1
1476846082.909000, /muse/elements/blink, 0
1476846082.909000, /muse/elements/jaw_clench, 0
1476846082.909000, /muse/elements/touching_forehead, 1
1476846082.909000, /muse/elements/experimental/concentration, 0.4966377
1476846082.909000, /muse/elements/experimental/mellow, 0.0
